片	http://img.zdic.net/zy/xiaozhuan/27_7247.svg
牙	http://img.zdic.net/zy/jinwen/31_EA3B.svg
牛	http://img.zdic.net/zy/jiaguwen/41_E431.svg
犬	http://img.zdic.net/zy/jiaguwen/43_E48A.svg
玄	http://img.zdic.net/zy/jiaguwen/43_F0EB.svg
玉	http://img.zdic.net/zy/jiaguwen/41_E219.svg
瓜	http://img.zdic.net/zy/jinwen/32_F370.svg
瓦	http://img.zdic.net/zy/xiaozhuan/27_74E6.svg
甘	http://img.zdic.net/zy/jiaguwen/42_E33E.svg
生	http://img.zdic.net/zy/jiaguwen/42_EC57.svg
用	http://img.zdic.net/zy/jiaguwen/45_F05F.svg
曱	
疋	http://img.zdic.net/zy/jiaguwen/45_E2D3.svg
疒	http://img.zdic.net/zy/jiaguwen/42_F370.svg
癶	http://img.zdic.net/zy/chuwenzi/51_E875.svg
白	http://img.zdic.net/zy/jiaguwen/42_F45B.svg
皮	http://img.zdic.net/zy/jinwen/31_F1A9.svg
皿	http://img.zdic.net/zy/jiaguwen/42_E5E3.svg
目	http://img.zdic.net/zy/jiaguwen/41_F455.svg
矛	http://img.zdic.net/zy/jinwen/34_E36F.svg
矢	http://img.zdic.net/zy/jiaguwen/42_E802.svg
石	http://img.zdic.net/zy/jiaguwen/43_E1DB.svg
示	http://img.zdic.net/zy/jiaguwen/45_E285.svg
禸	http://img.zdic.net/zy/xiaozhuan/27_79B8.svg
禾	http://img.zdic.net/zy/jiaguwen/42_F0C2.svg
穴	http://img.zdic.net/zy/chuwenzi/56_F281.svg
立	http://img.zdic.net/zy/jiaguwen/43_E78A.svg
竹	http://img.zdic.net/zy/jiaguwen/43_E265.svg
米	http://img.zdic.net/zy/jiaguwen/42_F17F.svg
糸	http://img.zdic.net/zy/jiaguwen/43_F0F3.svg
缶	http://img.zdic.net/zy/jiaguwen/42_E7F0.svg
网	http://img.zdic.net/zy/jiaguwen/42_F3C4.svg
羊	http://img.zdic.net/zy/jiaguwen/41_F7E8.svg
羽	http://img.zdic.net/zy/jiaguwen/41_F5BE.svg
老	http://img.zdic.net/zy/jiaguwen/42_F6C5.svg
