乡	<div class=tone1>yāo</div>	yao1	short, tiny	52	幺	[sound:cmn-yao1.mp3]	<img src="乡_img_ancient.svg">	-
广	<div class=tone3>guǎng</div>	guang3	house on cliff	53		[sound:cmn-guang3.mp3]	<img src="广_img_ancient.svg">	-
攴	<div class=tone1>pū</div>	pu1	to tap, to knock lightly	66	攵	[sound:cmn-pu1.mp3]	"<img src=""攴_img_ancient.svg"">"	敲, 寇, 蔻, 攴, 闅
无	<div class=tone2>wú</div>	wu2	negative, no, not	71		[sound:cmn-wu2.mp3]	"<img src=""无_img_ancient.svg"">"	无, 抚, 芜, 妩, 庑
爪	<div class=tone3>zhuǎ</div>	zhua3	claw, nail, talon	87	爫	[sound:cmn-zhua3.mp3]		抓, 爬, 爪, 笊, 受
曱	<div class=tone2>tiān</div>	tian2	field	102	田, 由, 甲, 申, 甴	[sound:cmn-tian2.mp3]		-
血	<div class=tone4>xùe</div>	xue4	blood	143		[sound:cmn-xue4.mp3]	<img src="血_img_ancient.svg">	-
