口	<div class=tone3>kǒu</div>	kou3	mouth, opening	30		[sound:cmn-kou3.mp3]	<img src="口_img_ancient.svg">	<img src="口_stroke_order.svg">	中, 和, 可, 如, 日
囗	<div class=tone2>wéi</div>	wei2	enclosure	31		[sound:cmn-wei2.mp3]	<img src="囗_img_ancient.svg">	<img src="囗_stroke_order.svg">	国, 因, 西, 回, 四
土	<div class=tone3>tǔ</div>	tu3	earth	32		[sound:cmn-tu3.mp3]	<img src="土_img_ancient.svg">	<img src="土_stroke_order.svg">	在, 地, 里, 去, 王
士	<div class=tone4>shì</div>	shi4	scholar, bachelor	33		[sound:cmn-shi4.mp3]	<img src="士_img_ancient.svg">	<img src="士_stroke_order.svg">	声, 志, 喜, 吉, 嘉
夂	<div class=tone3>zhǐ</div>	zhi3	go	34		[sound:cmn-zhi3.mp3]	<img src="夂_img_ancient.svg">	<img src="夂_stroke_order.svg">	处, 各, 条, 务, 备
夊	<div class=tone1>suī</div>	sui1	go slowly	35		[sound:cmn-sui1.mp3]	<img src="夊_img_ancient.svg">	<img src="夊_stroke_order.svg">	
夕	<div class=tone1>xī</div>, <div class=tone4>xì</div>	xi1 xi4	evening, sunset	36		[sound:cmn-xi1.mp3]	<img src="夕_img_ancient.svg">	<img src="夕_stroke_order.svg">	多, 外, 名, 罗, 岁
大	<div class=tone4>dà</div>, <div class=tone4>dài</div>, <div class=tone4>tài</div>	da4 dai4 tai4	big, very	37	夨	[sound:cmn-da4.mp3]	<img src="大_img_ancient.svg">	<img src="大_stroke_order.svg">	大, 天, 因, 太, 头
女	<div class=tone3>nǚ</div>, <div class=tone3>rǔ</div>	nü3 ru3	woman, female	38		[sound:cmn-nv3.mp3]	<img src="女_img_ancient.svg">	<img src="女_stroke_order.svg">	要, 如, 好, 她, 安
子	<div class=tone3>zǐ</div>, <div class=tone5>zi</div>	zi3 zi5	child, seed	39	孑, 孒, 孓	[sound:cmn-zi3.mp3]	<img src="子_img_ancient.svg">	<img src="子_stroke_order.svg">	子, 好, 学, 李, 字
宀	<div class=tone2>mián</div>	mian2	roof	40		[sound:cmn-mian2.mp3]	<img src="宀_img_ancient.svg">	<img src="宀_stroke_order.svg">	家, 定, 实, 它, 向
寸	<div class=tone4>cùn</div>	cun4	thumb, inch	41		[sound:cmn-cun4.mp3]	<img src="寸_img_ancient.svg">	<img src="寸_stroke_order.svg">	时, 对, 过, 导, 守
小	<div class=tone3>xiǎo</div>	xiao3	small, insignificant	42		[sound:cmn-xiao3.mp3]	<img src="小_img_ancient.svg">	<img src="小_stroke_order.svg">	就, 东, 少, 尔, 京
尢	<div class=tone1>wāng</div>, <div class=tone2>yóu</div>	wang1 you2	lame	43	尣	[sound:cmn-wang1.mp3]	<img src="尢_img_ancient.svg">	<img src="尢_stroke_order.svg">	就, 无, 尤, 尬, 尴
尸	<div class=tone1>shī</div>	shi1	corpse	44		[sound:cmn-shi1.mp3]	<img src="尸_img_ancient.svg">	<img src="尸_stroke_order.svg">	展, 居, 属, 局, 户
屮	<div class=tone4>chè</div>, <div class=tone3>cǎo</div>	che4 cao3	sprout	45		[sound:cmn-che4.mp3]	<img src="屮_img_ancient.svg">	<img src="屮_stroke_order.svg">	顿, 艸, 雟, 茻, 芔
山	<div class=tone1>shān</div>	shan1	mountain	46		[sound:cmn-shan1.mp3]	<img src="山_img_ancient.svg">	<img src="山_stroke_order.svg">	出, 击, 岁, 仙, 岛
巛	<div class=tone1>chuān</div>, <div class=tone1>kūn</div>	chuan1 kun1	river	47	巜, 川	[sound:cmn-chuan1.mp3]	<img src="巛_img_ancient.svg">	<img src="巛_stroke_order.svg">	巡, 巢, 邕, 甾, 带
工	<div class=tone1>gōng</div>	gong1	work	48		[sound:cmn-gong1.mp3]	<img src="工_img_ancient.svg">	<img src="工_stroke_order.svg">	经, 空, 式, 江, 功
